lexeme,stratum,det_flag,reynolds_label,prep_scope,zipf,zipf_band,dompos
worth,boundary,,,,,,
near,boundary,,,,,,
like,boundary,,,,,,
due,boundary,,,,,,
fun,boundary,,,,,,
galore,boundary,,,,,,
ablaze,boundary,,,,,,
asleep,boundary,,,,,,
afraid,boundary,,,,,,
more,boundary,,,,,,
less,boundary,,,,,,
enough,boundary,,,,,,
such,boundary,,,,,,
own,boundary,,,,,,
ago,boundary,,,,,,
else,boundary,,,,,,
a,determinative,core2021,a,,,,
a certain,determinative,core2021,a_certain,,,,
a few,determinative,core2021,a_few,,,,
a great many,determinative,core2021,a_great_many,,,,
a little,determinative,core2021,a_little,,,,
all,determinative,core2021,all,,,,
another,determinative,core2021,another,,,,
any,determinative,core2021,any,,,,
anybody,determinative,core2021,anybody,,,,
anyone,determinative,core2021,anyone,,,,
anything,determinative,core2021,anything,,,,
anywhere,determinative,core2021,anywhere,,,,
both,determinative,core2021,both,,,,
certain,determinative,core2021,certain,,,,
each,determinative,core2021,each,,,,
either,determinative,core2021,either,,,,
every,determinative,core2021,every,,,,
everybody,determinative,core2021,everybody,,,,
everyone,determinative,core2021,everyone,,,,
everything,determinative,core2021,everything,,,,
everywhere,determinative,core2021,everywhere,,,,
few,determinative,core2021,few,,,,
fewer,determinative,core2021,fewer,,,,
fewest,determinative,core2021,fewest,,,,
little,determinative,core2021,little,,,,
least,determinative,core2021,least,,,,
many,determinative,core2021,many,,,,
many a,determinative,core2021,many_a,,,,
most,determinative,core2021,most,,,,
much,determinative,core2021,much,,,,
neither,determinative,core2021,neither,,,,
last,determinative,core2021,last,,,,
next,determinative,core2021,next,,,,
no,determinative,core2021,no,,,,
none,determinative,core2021,none,,,,
nobody,determinative,core2021,nobody,,,,
no one,determinative,core2021,no_one,,,,
nothing,determinative,core2021,nothing,,,,
nowhere,determinative,core2021,nowhere,,,,
one,determinative,core2021,one_det,,,,
two,determinative,core2021,two_det,,,,
three,determinative,core2021,three_det,,,,
once,determinative,core2021,once,,,,
twice,determinative,core2021,twice,,,,
thrice,determinative,core2021,thrice,,,,
several,determinative,core2021,several,,,,
some,determinative,core2021,some,,,,
somebody,determinative,core2021,somebody,,,,
someone,determinative,core2021,someone,,,,
something,determinative,core2021,something,,,,
somewhere,determinative,core2021,somewhere,,,,
somewhat,determinative,core2021,somewhat,,,,
sufficient,determinative,core2021,sufficient,,,,
that,determinative,core2021,that,,,,
these,determinative,core2021,these,,,,
this,determinative,core2021,this,,,,
those,determinative,core2021,those,,,,
the,determinative,core2021,the,,,,
us,determinative,core2021,us_det,,,,
we,determinative,core2021,we_det,,,,
you,determinative,core2021,you_det,,,,
what,determinative,core2021,what_det,,,,
whatever,determinative,core2021,whatever_det,,,,
which,determinative,core2021,which_rel_det,,,,
whichever,determinative,core2021,whichever_rel_det,,,,
zero,determinative,core2021,zero_det,,,,
various,determinative,core2021,various_det,,,,
ten,determinative,extension2026,ten,,,,
eleven,determinative,extension2026,eleven,,,,
seventy,determinative,extension2026,seventy,,,,
hundred,determinative,extension2026,hundred,,,,
million,determinative,extension2026,million,,,,
of,preposition,,,core96,,,
at,preposition,,,core96,,,
from,preposition,,,core96,,,
into,preposition,,,core96,,,
onto,preposition,,,core96,,,
upon,preposition,,,core96,,,
with,preposition,,,core96,,,
as,preposition,,,core96,,,
until,preposition,,,core96,,,
aboard,preposition,,,core96,,,
about,preposition,,,core96,,,
above,preposition,,,core96,,,
across,preposition,,,core96,,,
after,preposition,,,core96,,,
against,preposition,,,core96,,,
along,preposition,,,core96,,,
alongside,preposition,,,core96,,,
apropos,preposition,,,core96,,,
around,preposition,,,core96,,,
before,preposition,,,core96,,,
behind,preposition,,,core96,,,
below,preposition,,,core96,,,
beneath,preposition,,,core96,,,
besides,preposition,,,core96,,,
between,preposition,,,core96,,,
beyond,preposition,,,core96,,,
by,preposition,,,core96,,,
down,preposition,,,core96,,,
for,preposition,,,core96,,,
in,preposition,,,core96,,,
inside,preposition,,,core96,,,
notwithstanding,preposition,,,core96,,,
off,preposition,,,core96,,,
on,preposition,,,core96,,,
opposite,preposition,,,core96,,,
outside,preposition,,,core96,,,
over,preposition,,,core96,,,
past,preposition,,,core96,,,
round,preposition,,,core96,,,
since,preposition,,,core96,,,
through,preposition,,,core96,,,
throughout,preposition,,,core96,,,
to,preposition,,,core96,,,
under,preposition,,,core96,,,
underneath,preposition,,,core96,,,
up,preposition,,,core96,,,
within,preposition,,,core96,,,
without,preposition,,,core96,,,
according,preposition,,,core96,,,
allowing,preposition,,,core96,,,
barring,preposition,,,core96,,,
concerning,preposition,,,core96,,,
counting,preposition,,,core96,,,
excepting,preposition,,,core96,,,
excluding,preposition,,,core96,,,
failing,preposition,,,core96,,,
following,preposition,,,core96,,,
including,preposition,,,core96,,,
owing,preposition,,,core96,,,
pertaining,preposition,,,core96,,,
regarding,preposition,,,core96,,,
respecting,preposition,,,core96,,,
saving,preposition,,,core96,,,
touching,preposition,,,core96,,,
wanting,preposition,,,core96,,,
given,preposition,,,core96,,,
gone,preposition,,,core96,,,
granted,preposition,,,core96,,,
provided,preposition,,,core96,,,
providing,preposition,,,core96,,,
seeing,preposition,,,core96,,,
during,preposition,,,core96,,,
pending,preposition,,,core96,,,
now,preposition,,,core96,,,
then,preposition,,,core96,,,
when,preposition,,,core96,,,
afterwards,preposition,,,core96,,,
beforehand,preposition,,,core96,,,
henceforth,preposition,,,core96,,,
thenceforth,preposition,,,core96,,,
abroad,preposition,,,core96,,,
abreast,preposition,,,core96,,,
adrift,preposition,,,core96,,,
aground,preposition,,,core96,,,
ahead,preposition,,,core96,,,
aloft,preposition,,,core96,,,
apart,preposition,,,core96,,,
ashore,preposition,,,core96,,,
aside,preposition,,,core96,,,
away,preposition,,,core96,,,
aft,preposition,,,core96,,,
back,preposition,,,core96,,,
forth,preposition,,,core96,,,
home,preposition,,,core96,,,
together,preposition,,,core96,,,
hereat,preposition,,,extended,,,
hereby,preposition,,,extended,,,
herefrom,preposition,,,extended,,,
herein,preposition,,,extended,,,
hereof,preposition,,,extended,,,
hereon,preposition,,,extended,,,
hereto,preposition,,,extended,,,
herewith,preposition,,,extended,,,
thereat,preposition,,,extended,,,
thereby,preposition,,,extended,,,
therefrom,preposition,,,extended,,,
therein,preposition,,,extended,,,
thereof,preposition,,,extended,,,
thereon,preposition,,,extended,,,
thereto,preposition,,,extended,,,
therewith,preposition,,,extended,,,
whereat,preposition,,,extended,,,
whereby,preposition,,,extended,,,
wherefrom,preposition,,,extended,,,
wherein,preposition,,,extended,,,
whereof,preposition,,,extended,,,
whereon,preposition,,,extended,,,
whereto,preposition,,,extended,,,
wherewith,preposition,,,extended,,,
hereabouts,preposition,,,extended,,,
thereabouts,preposition,,,extended,,,
whereabouts,preposition,,,extended,,,
here,preposition,,,extended,,,
there,preposition,,,extended,,,
where,preposition,,,extended,,,
hence,preposition,,,extended,,,
thence,preposition,,,extended,,,
whence,preposition,,,extended,,,
east,preposition,,,extended,,,
north,preposition,,,extended,,,
south,preposition,,,extended,,,
west,preposition,,,extended,,,
downhill,preposition,,,extended,,,
downstage,preposition,,,extended,,,
downstairs,preposition,,,extended,,,
downstream,preposition,,,extended,,,
downwind,preposition,,,extended,,,
uphill,preposition,,,extended,,,
upstage,preposition,,,extended,,,
upstairs,preposition,,,extended,,,
upstream,preposition,,,extended,,,
upwind,preposition,,,extended,,,
indoors,preposition,,,extended,,,
outdoors,preposition,,,extended,,,
overboard,preposition,,,extended,,,
overhead,preposition,,,extended,,,
overland,preposition,,,extended,,,
overseas,preposition,,,extended,,,
underfoot,preposition,,,extended,,,
underground,preposition,,,extended,,,
backward,preposition,,,extended,,,
downward,preposition,,,extended,,,
eastward,preposition,,,extended,,,
forward,preposition,,,extended,,,
heavenward,preposition,,,extended,,,
homeward,preposition,,,extended,,,
inward,preposition,,,extended,,,
leftward,preposition,,,extended,,,
northward,preposition,,,extended,,,
onward,preposition,,,extended,,,
outward,preposition,,,extended,,,
rightward,preposition,,,extended,,,
seaward,preposition,,,extended,,,
skyward,preposition,,,extended,,,
southward,preposition,,,extended,,,
upward,preposition,,,extended,,,
westward,preposition,,,extended,,,
general,adjective,,,,5.05,zipf>=5,
public,adjective,,,,5.44,zipf>=5,
ready,adjective,,,,5.52,zipf>=5,
same,adjective,,,,5.65,zipf>=5,
favourite,adjective,,,,5.13,zipf>=5,
serious,adjective,,,,5.16,zipf>=5,
safe,adjective,,,,5.1,zipf>=5,
second,adjective,,,,5.61,zipf>=5,
green,adjective,,,,5.22,zipf>=5,
important,adjective,,,,5.57,zipf>=5,
french,adjective,,,,5.04,zipf>=5,
final,adjective,,,,5.46,zipf>=5,
small,adjective,,,,5.43,zipf>=5,
true,adjective,,,,5.33,zipf>=5,
poor,adjective,,,,5.05,zipf>=5,
fair,adjective,,,,5.16,zipf>=5,
interesting,adjective,,,,5.28,zipf>=5,
possible,adjective,,,,5.2,zipf>=5,
